"Text","Sentiment"
"Denny Indrayana mengungkap ada gerakan serius untuk menunda Pemilu 2024. https://t.co/8a947G7fxc","Negatif"
"AHY: Pemilu 2024 Tidak Fair Kalau Demokrat Berhasil Dirampas
https://t.co/J0uteh8zvm","Negatif"
"Kalau ada sentimen Asal Bukan Merah dalam Pemilu 2024, Hasto paling bersalah. Pernyataan-pernyataannya telah membentuk kesan PDIP partai yang sombong dan tak butuh partai lain. Sikap beda Puan Maharani terlambat dan tak cukup untuk menghapus kesan PDIP partai yang sombong ini. https://t.co/4IBXyggTEH","Negatif"
"Pancasila bekal hadapi Pemilu 2024

#PemiluSerentak2024 #SongHyeKyo FOREVER WITH LALISA LIKE IT LIKE IT namjoon #Jisoo Hybe #CHAEUNWOO #Gempa BTS BTS BTS Going Seventeen Golden Buzzer Arhan Tasyi https://t.co/5AyLjcXspf","Positif"
"Bupati banjar ingatkan netralitas ASN di Pemilu dan Pilkada 2024

#PemiluSerentak2024 #SongHyeKyo FOREVER WITH LALISA LIKE IT LIKE IT namjoon #Jisoo Hybe #CHAEUNWOO #Gempa BTS BTS BTS Going Seventeen Golden Buzzer Arhan Tasyi https://t.co/ZRDo1omxTB","Positif"
"Jelang Pesta Demokrasi Pemilu 2024, Ketua MPR Ingatkan Hal Penting!

https://t.co/oL5jtec5FN

#bamsoet #PemiluSerentak2024 #PemiluIndonesia #Pemilu2024damai #pemilu #bambangsoesatyo #bamsoet #mantiktv https://t.co/wPtmLjocPy","Positif"
"Agustus Bulan Keramat, Sinyal PDIP Bakal Umumkan Bacawapres Ganjar di Pemilu 2024 ? https://t.co/K8eP1NzYgj","Positif"
"Ganjar menyasar suara pemilih Milenial dan Gen Z padak Pemilu 2024. Dia mengungkapkan metode untuk menggandeng kalangan muda harus mengutamakan pendekatan serta dialog.  #NKRIBangkitBersamaGanjar #Gempa Gempa Full Video Putri Ariani Kerasa Kenceng Inter Miami Tasyi https://t.co/kkkjLtPRv4","Positif"
"RT @KPU_ID: #TemanPemilih, kamu perlu tau, inilah Rekapitulasi Data Pengajuan Bakal Calon Anggota DPR RI oleh Partai Politik Peserta Pemilu…","Positif"
"RT @YudiSet16452924: SUASANA MENJELANG PEMILU 2024 MULAI MEMANAS, AHLI HUKUM TATANEGARA DENY INDRAYANA MANTAN WAMENKUMHAM MENULIS SURAT TER…","Negatif"
"RT @RizkiR4madani: Bapak @ganjarpranowo bakal menang Pilpres 2024 dlm satu putaran. Menurut Said,  maka bisa menghemat Anggaran Pendapatan…","Positif"
"RT @Kanjeng2022: WASPADA KEBANGKITAN NEO ORDE BARU.

TITIK SOEHARTO JADI CALON ANGGOTA LEGISLATIF PARTAI GERINDRA, PRABOWO JADI BAKAL CAPRE…","Negatif"
"RT @TajukPolitik: Din Syamsuddin Sayangkan Sikap Jokowi yang Diam saat Moeldoko Berupaya Merusak Demokrasi
https://t.co/ssc6flBuzS","Negatif"
"#TemanPemilih, ayo pastikan anda sudah terdaftar dalam Daftar Pemilih Pemilu 2024 dengan cara cek DPT Online pada laman https://t.co/mq1ZMJ6t9O
 
 Pastikan sekarang juga yaaa....!!!
 
 #KPUMelayani
 #PemiluSerentak2024 https://t.co/DAFKRrlFth","Positif"
"Sekber KIB Inginkan Anies-AHY, Bukan yg lain

#KIBDukungAniesAHY

https://t.co/gA0LsipFEt
#DemokratJatengS14P
_.","Positif"
"Ganjar ajak PPP sasar suara milenial dan Gen Z di pemilu 2024.

#NKRIBangkitBersamaGanjar https://t.co/URYafY5VSQ","Positif"
"RT @MichelAdam9191: 'Cawe2 presiden dalam pemilu 2024' itu:

1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah pres…","Negatif"
"Anggota KPU Kota Tarakan Divisi Teknis Penyelenggaraan M. Taufik Akbar, S.Pd. & Kasubbag serta Staf melakukan Koordinasi & Silaturahmi dengan PERUMDA Agro Bisnis Mandiri terkait Tahapan Pencalonan Bakal Calon Anggota DPRD Kota Tarakan pada Pemilu 2024. https://t.co/4lwRqK8Gas","Positif"
"Jaga pemilu 2024 bebas dr intervensi, intimidasi, & kecurangan. AHY memimpin perubahan utk itu.

#KIBDukungAniesAHY

https://t.co/qeacBSut8L
#DemokratJatengS14P
_.","Positif"
"RT @emerson_yuntho: Polling Independen. Bukan Pesanan. Jika besok adalah Hari H Pemilu 2024, Siapakah Calon Presiden yang g kamu pilih? #Pi…","Positif"
"RT @bianca01403: 'Cawe2 presiden dalam pemilu 2024' itu:
1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah presiden…","Negatif"
"RT @Im00568047: Cawe cawe Presiden pd pemilu 2024 tergolong inkonstituaional (bukan dlm tugas dan kewenangan presiden) & perbuatan yg terce…","Negatif"
"Bupati banjar ingatkan netralitas ASN di pemilu dan pilkada 2024

#PemiluSerentak2024
#Pemilu2024SesuaiTahapan
#TolakPenundaanPemilu
#AntiPolitikIdentitas
#TolakPolitikMasjid
#Pancasila
#Pemilu2024
#Pilpres2024
#Capres2024
#KPU
#Bawaslu
#IndonesiaMaju https://t.co/u9YXA98G4R","Positif"
"RT @detikcom: LSI Denny JA merilis survei jika Anies gagal berlaga sebagai capres di Pilpres 2024. Berdasarkan hasil survei, Prabowo dinila…","Positif"
"Ketua KPU mengajak seluruh masyarakat untuk berpartisipasi aktif menjaga kedamaian dalam konidisi Pemilu 2024
#PemiluSerentak2024
#Pemilu2024SesuaiTahapan
#TolakPenundaanPemilu
#AntiPolitikIdentitas
#TolakPolitikMasjid
#Pancasila
#Pemilu2024
#Pilpres2024
#Capres2024
#KPU
#Bawaslu https://t.co/qpcS7w29hE","Positif"
"RT @golkarpedia: Yanti Airlangga: Istri Kader Partai Golkar Berperan Penting Wujudkan Kemenangan Di Pemilu 2024
#airlanggahartarto #airlang…","Positif"
"RT @MichelAdam9191: 'Cawe2 presiden dalam pemilu 2024' itu:

1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah pres…","Negatif"
"Gerindra Sarankan MK Umumkan Putusannya setelah 2024 jika Sistem Pemilu Proporsional Tertutup https://t.co/725MnOwnyF","Positif"
"RT @LANGKAHANIES: Ikrar Relawan @aniesbaswedan
1. Bertekad memenangkan Anies Baswedan Presiden 2024
2. Bersikap santun, cerdas, tidak sebar…","Positif"
"Pernyataan Presiden Joko Widodo soal cawe-cawe Pemilu 2024 berujung gaduh. Jokowi mengaku, cawe-cawe yang dia maksud adalah untuk bangsa dan negara. Namun menurut Peneliti Pusat Riset Politik BRIN, Aisah Putri, cawe-cawe ini ada batasannya, baik scara aturan ataupun etika politik https://t.co/Ho81IAc0S4","Positif"
"RT @MichelAdam9191: 'Cawe2 presiden dalam pemilu 2024' itu:

1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah pres…","Negatif"
"#TemanPemilih, kamu perlu tau, inilah Rekapitulasi Data Pengajuan Bakal Calon Anggota DPR RI oleh Partai Politik Peserta Pemilu Tahun 2024,Jangan Lupa Cek DPT Onlinemu bisa di lihat linknya disini
https://t.co/sUf3TIH4it

#KPUMelayani
#PemiluSerentak2024 https://t.co/lunciFsAxe","Positif"
"RT @MichelAdam9191: 'Cawe2 presiden dalam pemilu 2024' itu:

1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah pres…","Negatif"
"https://t.co/olpnrSj5ci 11.05
Pangdam V/Brawijaya meminta kepada seluruh anggotanya untuk tetap Netral pada pelaksanaan Pemilu tahun 2024 mendatang. (Zyd)
https://t.co/OFrLKby0rn","Positif"
"RT @golkarpedia: Yanti Airlangga: Istri Kader Partai Golkar Berperan Penting Wujudkan Kemenangan Di Pemilu 2024
#airlanggahartarto #airlang…","Positif"
"RT @MichelAdam9191: 'Cawe2 presiden dalam pemilu 2024' itu:

1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah pres…","Negatif"
"RT @golkarpedia: Yanti Airlangga: Istri Kader Partai Golkar Berperan Penting Wujudkan Kemenangan Di Pemilu 2024
#airlanggahartarto #airlang…","Positif"
"@3lzh4s KPU dan Bawaslu membutuhkan dukungan kita untuk menjamin Pemilu 2024 berjalan dengan baik dan lancar. #PolitikIdentitas","Positif"
"@3lzh4s Jangan biarkan provokasi politik menghancurkan persatuan dan kesatuan bangsa kita di Pemilu 2024. #PemiluIndonesia","Positif"
"RT @MichelAdam9191: 'Cawe2 presiden dalam pemilu 2024' itu:

1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah pres…","Negatif"
"@3lzh4s KPU dan Bawaslu merupakan garda terdepan dalam mengawal Pemilu 2024 mari kita dukung mereka. #PolitikIdentitas","Positif"
"@3lzh4s Kesuksesan pelaksanaan Pemilu 2024 merupakan tanggungjawab bersama #Ganjar","Positif"
"RT @bianca01403: 'Cawe2 presiden dalam pemilu 2024' itu:
1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah presiden…","Negatif"
"AHY Minta Demokat Wilayah Papua Selatan Tetap Solid Menang di Pemilu 2024.

#KIBDukungAniesAHY

https://t.co/ILEnbH5jAP
#DemokratJatengS14P
_.","Positif"
"Jawa Timur, https://t.co/wKgHpxyppM - Kepala Dinas Komunikasi dan Informatika (Kadis Kominfo) Jatim, Sherlita Ratna Dewi Agustin menyambut baik dan berterimkasikasih kepada Asesor SDM Aparatur Ahli Utama,Anom Surahno atas masukkannya  tentang peran

https://t.co/tKI0fwPTIi https://t.co/NWB1SIckpy","Positif"
"RT @pps_mutihkulon: Kamis(1/6)
Undangan Rapat Pleno Terbuka Rekapitulasi DPSHP Tahap Akhir  tingkat Desa Mutih Kulon pada Pemilu 2024 

#pe…","Positif"
"Relawan 'Kuning Ijo Biru' dukung AHY jadi cawapres Anies di pilpres 2024..

#KIBDukungAniesAHY
https://t.co/EOUfLWbGtN","Positif"
"RT @ajengcute16__: Lawan Upaya Pembegalan Moeldoko, Demokrat Riau Konvoi Seribu Motor Menuju Jakarta 

 https://t.co/YUY4Lsonu7","Positif"
"Sekber KIB Inginkan Anies-AHY, Bukan yg lain

#KIBDukungAniesAHY

https://t.co/gA0LsipFEt
#DemokratJatengS14P
_.","Positif"
"Koalisi Perubahan untuk Persatuan (KPP) dinilai telat panaskan mesin politik menuju Pemilu 2024. Tidak menunjukkan taring sebagai oposisi ke pemerintah. Tunggu apa sih? #Pemilu2024damai #Pilpres2024   https://t.co/m2aTI0DLeR","Negatif"
"Di Bawah Komando AHY, Demokrat Bergerak Menuju Kemenangan Pemilu 2024

#KIBDukungAniesAHY

https://t.co/N0OKvtOiT3
#DemokratJatengS14P
_.","Positif"
"Elektabilitas Demokrat Naik, Alasan AHY Masuk Bursa Bacawapres Ganjar di Pemilu 2024 https://t.co/siqgW2Mm06","Positif"
"@3lzh4s Tidak ada alasan untuk menunda pemilu 2024. Mari dukung keberlangsungan demokrasi kita. #P","Positif"
"@3lzh4s Pemilu 2024 akan tetap berjalan sesuai jadwal untuk menjamin kestabilan politik dan ekonomi Indonesia. #GanjarPranowo2024","Positif"
"@3lzh4s Ayo bersama ciptakan Pemilu 2024 damai dan aman #PemiluIndonesia","Positif"
"#TemanPemilih,  Yuk simak Jadwal Sosialisasi dan Pendidikan Pemilih Kirab Pemilu 2024  di hari Kamis, 8 Juni 2023. Ayo Sukseskan Pemilu Serentak 2024.

#KPUMelayani
#PemiluSerentak2024 https://t.co/HIAsVy9ubi","Positif"
"RT @MichelAdam9191: 'Cawe2 presiden dalam pemilu 2024' itu:

1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah pres…","Negatif"
"RT @emerson_yuntho: Polling Independen. Bukan Pesanan. Jika besok adalah Hari H Pemilu 2024, Siapakah Calon Presiden yang g kamu pilih? #Pi…","Netral"
"PANCASILA telah diperkenalkan pertama kali oleh Ir. Soekarno pada tanggal 1 Juni 1945 dalam ruang sidang Badan Penyelidik Usaha-usaha Persiapan Kemerdekaan Indonesia (BPUPKI). https://t.co/vCoc3ZfWes","Positif"
"RT @yudiyudot99: Ketar-ketir berhadapan dengan kekuatan elit gak sportif  yg menghalalkan berbagai macam cara ?

AHY: 
Pemilu 2024 Tidak Fa…","Negatif"
"Repost @kpu_ri
#TemanPemilih, kamu perlu tau, inilah Rekapitulasi Data Pengajuan Bakal Calon Anggota DPR RI oleh Partai Politik Peserta Pemilu Tahun 2024
#KPUMelayani
#PemiluSerentak2024 https://t.co/wHFj8ch5dj","Positif"
"Ketar-ketir berhadapan dengan kekuatan elit gak sportif  yg menghalalkan berbagai macam cara ?

AHY: 
Pemilu 2024 Tidak Fair Kalau Demokrat Berhasil Dirampas 

https://t.co/FtXyIuGXrW","Negatif"
"Yanti Airlangga: Istri Kader Partai Golkar Berperan Penting Wujudkan Kemenangan Di Pemilu 2024
#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #golkarsolid #AirlanggaPresiden
https://t.co/ydQz2LN3yC","Positif"
"RT @ajengcute16__: Pak Jokowi Diam berarti?

Din Syamsuddin Sayangkan Sikap Jokowi yang Diam saat Moeldoko Berupaya Merusak Demokrasi 

htt…","Negatif"
"RT @ajengcute16__: Denny Indrayana Kembali Kuliti Cawe-Cawe Jokowi Cegah Anies Menang 

 https://t.co/vR1SLgPo1m","Negatif"
"RT @MichelAdam9191: 'Cawe2 presiden dalam pemilu 2024' itu:

1. Melanggar TAP MPR NO. VI Tahun 2021 tentang etika.
2. Melanggar Sumpah pres…","Negatif"
"Kepala Kejaksaan Negeri Ponorogo Bpk. Rindang Onasis, S.H menerima Audiensi KPU Kabupaten Ponorogo. Audiensi ini selain menjadi momen silaturahmi juga untuk koordinasi terkait pelaksanaan tahapan Pemilu 2024 khususnya di wilayah Kabupaten Ponorogo. https://t.co/ZoyRSmzXXJ","Positif"
"RT @otnayram_me: Sejumlah warga Indonesia yang tergabung dalam Relawan Ganjar Prancis (GP) mendeklarasikan dukungan terhadap Ganjar Pranowo…","Positif"
"RT @dennyindrayana: https://t.co/425kqkwhwQ

????. ??????, ?????? ????????, ??? ???? ?? ? ???????

Mau tahu 'bocoran' obrolan saya dengan P…","Negatif"
"Ampuh dan Terbukti, Cobalah 7 Strategi Ini Agar Caleg Lolos Pemilu 2024 https://t.co/iVpfkjD79L lewat @semarak.co","Positif"
"RT @Marbot_Udien: Pernyataan Megawati ini menjawab pertanyaan mengenai apakah ia menegur  Jokowi perihal cawe-cawe dalam Pemilu 2024. Saat…","Netral"
"Pemkab Bekasi siap memberikan dukungan dalam menyukseskan pelaksanaan Pemilu Serentak pada tahun 2024 mendatang. Hal itu dikatakan Pj. Bupati Bekasi, @daniramdan0112 saat memimpin Rapat Koordinasi Persiapan Pemilu Serentak dan Isu Strategis Lainnya Tingkat Kabupaten Bekasi.. https://t.co/rf5bB2BxhW","Positif"
"RT @Beritasatu: Jokowi Siap Cawe-cawe untuk Cegah Riak Pemilu 2024 yang Bahayakan Negara https://t.co/zug6Ga6d41","Positif"
"Pernyataan Megawati ini menjawab pertanyaan mengenai apakah ia menegur  Jokowi perihal cawe-cawe dalam Pemilu 2024. Saat bertemu para pemimpin  media massa & pegiat media sosial, Jokowi menyampaikan bahwa ia harus  ikut cawe-cawe pada Pemilu 2024 demi kepentingan bangsa & negara. https://t.co/bPtvyiAjlT","Netral"
"@Gus_Raharjo Salah satu alasan jokowi membuat koalisi besar dipemerintahannya adalah krn dia berpikir neg ini tdk bisa dibangun oleh 1 atau 2 partai saja..dan ia menginginkan koalisi besar ini tetap berlanjut di pemilu 2024 (cawe cawe)...paham ya","Positif"
"RT @Naz_lira: Ditengah banyaknya spekulasi dan tudingan terhadap pak @mohmahfudmd, saya termasuk orang yang masih percaya, bahwa tinggal pa…","Positif"
"Menurut survei Indikator, Prabowo, Ganjar, dan Anies merupakan kandidat calon presiden (capres) Pemilu 2024 dengan elektabilitas terbesar. #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","Positif"
"Jakarta Lembaga Surabaya Research Syndicate (SRS) merilis hasil penelitiannya, yang salah satunya memantau elektabilitas tokoh yang disebut akan maju di Pemilu 2024 sebagai calon presiden (capres). #PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto15","Netral"
"Mari kita jaga Penyelenggaraan Pemilu 2024 agar berjalan aman damai. Oleh karena itu, mari kita jaga netralitas ASN sebagai tenaga pemerintah profesional.
#ASNNetral, #jagapersatuan,
#SukseskanPemilu2024 https://t.co/zGfZIOTdfw","Positif"
"Jika berhasil merebut perhatian para pemilih muda, lanjut Kunto, terbuka peluang buat Prabowo menang mengingat jumlah pemilih muda pada Pemilu 2024 sangat besar.
#PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","Positif"
"Analis komunikasi politik dari Universitas Padjadjaran Kunto Adi Wibowo menilai, bakal calon presiden (capres) dari Partai Gerindra Prabowo Subianto mencoba bermain di “garis tengah” pada Pemilu 2024.
#PrabowoUntukIndonesia #NeruskePakdhe Prabowo Subianto","Positif"
"RT @dennyindrayana: https://t.co/425kqkwhwQ

????. ??????, ?????? ????????, ??? ???? ?? ? ???????

Mau tahu 'bocoran' obrolan saya dengan P…","Negatif"
"RT @abwnews_: Pemilu 2024 Nanti Dinilai Momentum Terbaik Lakukan Perubahan untuk Indonesia

https://t.co/BJBxAtkXeh","Positif"
"Calon Presiden Indonesia, Ganjar Pranowo hadir pada Rakernas PDIP yang berlangsung di Lenteng Agung pada 6 Juni 2023.

Pada Rakernas kali ini, membahas langkah untuk memenangkan Pemilu dan Pilpres yang berlangsung pada Tahun 2024 mendatang.

Semangat catatkan Hattrick Kemenangan… https://t.co/tDBB2VPMcW https://t.co/3Fj4PAKERK","Positif"
"RT @ajengcute16__: Denny Indrayana Kembali Kuliti Cawe-Cawe Jokowi Cegah Anies Menang 

 https://t.co/vR1SLgPo1m","Negatif"
"RT @abwnews_: Pemilu 2024 Nanti Dinilai Momentum Terbaik Lakukan Perubahan untuk Indonesia

https://t.co/BJBxAtkXeh","Positif"
"RT @ajengcute16__: Demokrat Ungkap Kerjasama Lembaga Survei Untuk Kalahkan Anies Baswedan 

 https://t.co/9WgcCZdtv0","Negatif"
"RT @Aryprasetyo85: BREAKING NEWS! Keterangan Megawati & @jokowi jelang Rakernas PDI-P Bahas Strategi Pemilu 2024

Presiden Joko Widodo bica…","Netral"
"RT @Leonita_Lestari: PULAU KALIAGE TEMPAT PARA JETSET POLITIK BERCENGKRAMA
.
.
.

Sebuah pulau di kawasan pulau seribu menjadi sorotan sete…","Netral"
"Demokrat Ungkap Kerjasama Lembaga Survei Untuk Kalahkan Anies Baswedan
https://t.co/cLZ4pN74bQ","Negatif"
"RT @tatapratiwi_1: Mari kita jaga Penyelenggaraan Pemilu 2024 agar berjalan aman damai. Oleh karena itu, mari kita jaga netralitas ASN seba…","Positif"
"@refaabdi pemilu 2024 langkah lanjutkan pembangunan nasional #PemiluSerentak2024 #Pemilu2024SesuaiTahapan #TolakPenundaanPemilu #AntiPolitikIdentitas #TolakPolitikMasjid #Pancasila #OKAYCUTItsHaechanDay #??????_????_???? https://t.co/ilmRFTuaPS","Positif"
